Locus tag,Protein ID,Gene,Protein name
PMN2A_2025,ABU23957.1,None,Conserved hypothetical protein
PMN2A_0514,AAZ58005.1,None,protein family PM-9
PMN2A_0515,AAZ58006.1,None,possible inward rectifier potassium channel
PMN2A_0516,AAZ58007.1,None,conserved hypothetical protein
PMN2A_2026,ABU23958.1,None,Hypothetical protein
PMN2A_2027,ABU23959.1,None,Conserved hypothetical protein
PMN2A_2028,ABU23960.1,None,Conserved hypothetical protein
PMN2A_2029,ABU23961.1,None,Conserved hypothetical protein
PMN2A_0518,AAZ58009.1,None,hypothetical protein
PMN2A_0519,AAZ58010.1,None,hypothetical protein
PMN2A_0520,AAZ58011.1,None,hypothetical protein
PMN2A_2030,ABU23962.1,None,Conserved hypothetical protein
PMN2A_2031,ABU23963.1,None,Conserved hypothetical protein
PMN2A_0521,AAZ58012.1,None,hypothetical protein
PMN2A_0522,AAZ58013.1,None,conserved hypothetical protein
PMN2A_2032,ABU23964.1,None,Hypothetical protein
PMN2A_2033,ABU23965.1,None,Conserved hypothetical protein
PMN2A_2034,ABU23966.1,None,Conserved hypothetical protein
PMN2A_0523,AAZ58014.1,None,"prolyl aminopeptidase, Serine peptidase, MEROPS family S33"
PMN2A_0524,AAZ58015.1,None,hypothetical protein
PMN2A_0525,AAZ58016.1,None,protein family PM-14
PMN2A_0526,AAZ58017.1,None,hypothetical protein
PMN2A_0527,AAZ58018.1,None,conserved hypothetical protein
PMN2A_0528,AAZ58019.1,None,hypothetical protein
PMN2A_0529,AAZ58020.1,None,hypothetical protein
PMN2A_0530,AAZ58021.1,None,conserved hypothetical protein
PMN2A_2037,ABU23967.1,None,Hypothetical protein
PMN2A_0532,AAZ58023.1,None,possible protein of unknown function DUF67
PMN2A_0533,AAZ58024.1,None,hypothetical protein
PMN2A_2038,ABU23968.1,None,Conserved hypothetical protein
PMN2A_2039,ABU23969.1,None,Conserved hypothetical protein
PMN2A_0534,AAZ58025.1,None,possible 7TM chemoreceptor
PMN2A_0535,AAZ58026.1,None,protein family PM-19
PMN2A_0537,AAZ58028.1,None,hypothetical protein
PMN2A_2041,ABU23970.1,None,Hypothetical protein
PMN2A_2042,ABU23971.1,None,Conserved hypothetical protein
PMN2A_2043,ABU23972.1,None,Conserved hypothetical protein
PMN2A_0539,AAZ58030.1,None,hypothetical protein
PMN2A_2044,ABU23973.1,None,Hypothetical protein
PMN2A_2045,ABU23974.1,None,Conserved hypothetical protein
PMN2A_2046,ABU23975.1,None,Conserved hypothetical protein
PMN2A_0540,AAZ58031.1,None,hypothetical protein
PMN2A_2047,ABU23976.1,None,Conserved hypothetical protein
PMN2A_0541,AAZ58032.1,None,hypothetical protein
PMN2A_2048,ABU23977.1,None,Conserved hypothetical protein
PMN2A_2049,ABU23978.1,None,Conserved hypothetical protein
PMN2A_2050,ABU23979.1,None,Conserved hypothetical protein
PMN2A_0542,AAZ58033.1,None,hypothetical protein
PMN2A_0543,AAZ58034.1,None,hypothetical protein
PMN2A_2051,ABU23980.1,None,Conserved hypothetical protein
PMN2A_2052,ABU23981.1,None,Conserved hypothetical protein
PMN2A_0545,AAZ58036.1,None,hypothetical protein
PMN2A_2053,ABU23982.1,None,Hypothetical protein
PMN2A_2054,ABU23983.1,None,Hypothetical protein
PMN2A_2055,ABU23984.1,None,Conserved hypothetical protein
PMN2A_2056,ABU23985.1,None,Conserved hypothetical protein
PMN2A_0547,AAZ58038.1,None,hypothetical protein
PMN2A_2057,ABU23986.1,None,Conserved hypothetical protein
PMN2A_2058,ABU23987.1,None,Conserved hypothetical protein
PMN2A_0548,AAZ58039.1,None,hypothetical protein
PMN2A_0549,AAZ58040.1,None,hypothetical protein
PMN2A_2060,ABU23988.1,None,Conserved hypothetical protein
PMN2A_0550,AAZ58041.1,None,hypothetical protein
PMN2A_0551,AAZ58042.1,None,possible high light inducible protein
PMN2A_0552,AAZ58043.1,None,possible high light inducible protein
PMN2A_2061,ABU23989.1,None,Hypothetical protein
PMN2A_2062,ABU23990.1,None,Hypothetical protein
PMN2A_2063,ABU23991.1,None,Hypothetical protein
PMN2A_0554,AAZ58045.1,None,hypothetical protein
PMN2A_0555,AAZ58046.1,None,hypothetical protein
PMN2A_0557,AAZ58048.1,None,hypothetical protein
PMN2A_0562,AAZ58053.1,None,hypothetical protein
PMN2A_0563,AAZ58054.1,None,hypothetical protein
PMN2A_2064,ABU23992.1,None,Conserved hypothetical protein
PMN2A_0564,AAZ58055.1,None,conserved hypothetical protein
PMN2A_0565,AAZ58056.1,None,hypothetical protein
PMN2A_0566,AAZ58057.1,None,protein family PM-5
PMN2A_0567,AAZ58058.1,None,hypothetical protein
PMN2A_0568,AAZ58059.1,None,hypothetical protein
PMN2A_0569,AAZ58060.1,None,conserved hypothetical protein
PMN2A_2065,ABU23993.1,None,Hypothetical protein
PMN2A_0570,AAZ58061.1,None,conserved hypothetical protein
PMN2A_2066,ABU23994.1,None,Conserved hypothetical protein
PMN2A_0571,AAZ58062.1,None,hypothetical protein
PMN2A_2068,ABU23995.1,None,Hypothetical protein
PMN2A_0572,AAZ58063.1,None,hypothetical protein
PMN2A_0573,AAZ58064.1,None,hypothetical protein
PMN2A_2070,ABU23996.1,None,Conserved hypothetical protein
PMN2A_2071,ABU23997.1,None,Conserved hypothetical protein
PMN2A_2072,ABU23998.1,None,Conserved hypothetical protein
PMN2A_0574,AAZ58065.1,None,hypothetical protein
PMN2A_2073,ABU23999.1,None,Hypothetical protein
PMN2A_2074,ABU24000.1,None,Hypothetical protein
PMN2A_2075,ABU24001.1,None,Conserved hypothetical protein
PMN2A_2076,ABU24002.1,None,Conserved hypothetical protein
PMN2A_0576,AAZ58067.1,None,high light inducible protein hli11
PMN2A_0577,AAZ58068.1,None,possible high light inducible protein
PMN2A_2077,ABU24003.1,None,Hypothetical protein
PMN2A_2078,ABU24004.1,None,Hypothetical protein
PMN2A_2079,ABU24005.1,None,Conserved hypothetical protein
PMN2A_2080,ABU24006.1,None,Conserved hypothetical protein
PMN2A_2081,ABU24007.1,None,Conserved hypothetical protein
PMN2A_0581,AAZ58072.1,None,conserved hypothetical protein
PMN2A_0582,AAZ58073.1,None,hypothetical protein
PMN2A_2082,ABU24008.1,None,Conserved hypothetical protein
PMN2A_0583,AAZ58074.1,None,hypothetical protein
PMN2A_0584,AAZ58075.1,None,hypothetical protein
PMN2A_2084,ABU24009.1,None,Hypothetical protein
PMN2A_0587,AAZ58078.1,None,hypothetical protein
PMN2A_2085,ABU24010.1,None,Conserved hypothetical protein
PMN2A_0589,AAZ58080.1,None,hypothetical protein
PMN2A_2086,ABU24011.1,None,Conserved hypothetical protein
PMN2A_2087,ABU24012.1,None,Conserved hypothetical protein
PMN2A_2088,ABU24013.1,None,Conserved hypothetical protein
PMN2A_2089,ABU24014.1,None,Conserved hypothetical protein
PMN2A_2090,ABU24015.1,None,Conserved hypothetical protein
PMN2A_2091,ABU24016.1,None,Hypothetical protein
PMN2A_0592,AAZ58083.1,None,hypothetical protein
PMN2A_2093,ABU24017.1,None,Conserved hypothetical protein
PMN2A_0593,AAZ58084.1,None,hypothetical protein
PMN2A_2094,ABU24018.1,None,Conserved hypothetical protein
PMN2A_2095,ABU24019.1,None,Conserved hypothetical protein
PMN2A_2096,ABU24020.1,None,Conserved hypothetical protein
PMN2A_2097,ABU24021.1,None,Hypothetical protein
PMN2A_2098,ABU24022.1,None,Conserved hypothetical protein
PMN2A_2099,ABU24023.1,None,Conserved hypothetical protein
PMN2A_2100,ABU24024.1,None,Conserved hypothetical protein
PMN2A_2101,ABU24025.1,None,Conserved hypothetical protein
PMN2A_0596,AAZ58087.1,None,conserved hypothetical protein
PMN2A_2102,ABU24026.1,None,Conserved hypothetical protein
PMN2A_0600,AAZ58091.1,None,conserved hypothetical protein
PMN2A_2103,ABU24027.1,None,Conserved hypothetical protein
PMN2A_2104,ABU24028.1,None,Conserved hypothetical protein
PMN2A_2106,ABU24029.1,None,Conserved hypothetical protein
PMN2A_2107,ABU24030.1,None,Conserved hypothetical protein
PMN2A_0602,AAZ58093.1,None,possible high light inducible protein
PMN2A_0603,AAZ58094.1,None,possible high light inducible protein
PMN2A_2108,ABU24031.1,None,Conserved hypothetical protein
PMN2A_0604,AAZ58095.1,None,hypothetical protein
PMN2A_2109,ABU24032.1,None,Conserved hypothetical protein
PMN2A_0605,AAZ58096.1,None,hypothetical protein
PMN2A_0606,AAZ58097.1,None,hypothetical protein
PMN2A_0608,AAZ58099.1,None,hypothetical protein
PMN2A_2110,ABU24033.1,None,Conserved hypothetical protein
PMN2A_0609,AAZ58100.1,None,hypothetical protein
PMN2A_2111,ABU24034.1,None,Conserved hypothetical protein
PMN2A_2112,ABU24035.1,None,Conserved hypothetical protein
PMN2A_2113,ABU24036.1,None,Hypothetical protein
PMN2A_0615,AAZ58106.1,None,conserved hypothetical protein
PMN2A_0616,AAZ58107.1,None,conserved hypothetical protein
PMN2A_0617,AAZ58108.1,None,conserved hypothetical protein
PMN2A_2114,ABU24037.1,None,Conserved hypothetical protein
PMN2A_0618,AAZ58109.1,None,hypothetical protein
PMN2A_0619,AAZ58110.1,None,protein family PM-14
PMN2A_0620,AAZ58111.1,None,hypothetical protein
PMN2A_2115,ABU24038.1,None,Hypothetical protein
PMN2A_2116,ABU24039.1,None,Conserved hypothetical protein
PMN2A_2117,ABU24040.1,None,Conserved hypothetical protein
PMN2A_0623,AAZ58114.1,None,hypothetical protein
PMN2A_2118,ABU24041.1,None,Conserved hypothetical protein
PMN2A_2119,ABU24042.1,None,Conserved hypothetical protein
PMN2A_0625,AAZ58116.1,None,hypothetical protein
PMN2A_0626,AAZ58117.1,None,hypothetical protein
PMN2A_0627,AAZ58118.1,None,hypothetical protein
PMN2A_2120,ABU24043.1,None,Conserved hypothetical protein
PMN2A_0628,AAZ58119.1,None,hypothetical protein
PMN2A_0629,AAZ58120.1,None,hypothetical protein
PMN2A_0630,AAZ58121.1,None,conserved hypothetical protein
PMN2A_2121,ABU24044.1,None,Conserved hypothetical protein
PMN2A_0633,AAZ58124.1,None,conserved hypothetical protein
PMN2A_0634,AAZ58125.1,None,hypothetical protein
PMN2A_2123,ABU24045.1,None,Hypothetical protein
PMN2A_2124,ABU24046.1,None,Conserved hypothetical protein
